Journal Title,JIF,JIF5Years
INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY,1.2,0.9
INTERNATIONAL JOURNAL OF COMPUTER ASSISTED RADIOLOGY AND SURGERY,2.3,3.1
INTERNATIONAL JOURNAL OF COMPUTER GAMES TECHNOLOGY,1.7,2.6
INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,3.7,4.2
INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS,1.7,1.5
INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS- COMPUTER SYSTEMS THEORY,0.9,N/A
INTERNATIONAL JOURNAL OF COMPUTER VISION,11.6,14.5
INTERNATIONAL JOURNAL OF COMPUTER-ASSISTED LANGUAGE LEARNING AND TEACHING,0.7,0.9
INTERNATIONAL JOURNAL OF COMPUTERIZED DENTISTRY,1.8,2.8
INTERNATIONAL JOURNAL OF COMPUTERS COMMUNICATIONS and CONTROL,2,1.7
INTERNATIONAL JOURNAL OF COMPUTER-SUPPORTED COLLABORATIVE LEARNING,4.2,5.6
INTERNATIONAL JOURNAL OF COMPUTING SCIENCE AND MATHEMATICS,0.5,0.6
INTERNATIONAL JOURNAL OF CONCRETE STRUCTURES AND MATERIALS,3.6,3.8
INTERNATIONAL JOURNAL OF CONFLICT AND VIOLENCE,0.4,1.5
INTERNATIONAL JOURNAL OF CONFLICT MANAGEMENT,2.7,3.1
INTERNATIONAL JOURNAL OF CONSERVATION SCIENCE,0.6,0.6
INTERNATIONAL JOURNAL OF CONSTRUCTION MANAGEMENT,3.4,4
INTERNATIONAL JOURNAL OF CONSUMER STUDIES,8.6,7.7
INTERNATIONAL JOURNAL OF CONTEMPORARY ECONOMICS AND ADMINISTRATIVE SCIENCES,0.1,0.3
INTERNATIONAL JOURNAL OF CONTEMPORARY HOSPITALITY MANAGEMENT,9.1,8.9
INTERNATIONAL JOURNAL OF CONTINUING ENGINEERING EDUCATION AND LIFE-LONG LEARNING,0.4,0.4
INTERNATIONAL JOURNAL OF CONTROL,1.6,1.8
INTERNATIONAL JOURNAL OF CONTROL AUTOMATION AND SYSTEMS,2.5,2.5
INTERNATIONAL JOURNAL OF COOPERATIVE INFORMATION SYSTEMS,0.5,0.5
INTERNATIONAL JOURNAL OF CORPUS LINGUISTICS,1.6,1.7
INTERNATIONAL JOURNAL OF CORROSION,1.5,1.9
INTERNATIONAL JOURNAL OF CORROSION AND SCALE INHIBITION,2.8,2.4
INTERNATIONAL JOURNAL OF COSMETIC SCIENCE,2.7,3.2
INTERNATIONAL JOURNAL OF CRASHWORTHINESS,1.8,1.8
INTERNATIONAL JOURNAL OF CRIMINAL JUSTICE SCIENCES,0.4,0.4
INTERNATIONAL JOURNAL OF CRITICAL INFRASTRUCTURE PROTECTION,4.1,3.5
INTERNATIONAL JOURNAL OF CRITICAL INFRASTRUCTURES,0.5,0.7
INTERNATIONAL JOURNAL OF CROSS CULTURAL MANAGEMENT,2,2.3
INTERNATIONAL JOURNAL OF CUBAN STUDIES,0.6,0.5
INTERNATIONAL JOURNAL OF CULTURAL POLICY,1.3,1.6
INTERNATIONAL JOURNAL OF CULTURAL PROPERTY,0.6,1
INTERNATIONAL JOURNAL OF CULTURAL STUDIES,1.5,2.1
INTERNATIONAL JOURNAL OF CULTURE TOURISM AND HOSPITALITY RESEARCH,2.7,3.2
INTERNATIONAL JOURNAL OF CYBER CRIMINOLOGY,0.7,1.2
INTERNATIONAL JOURNAL OF CYBER WARFARE AND TERRORISM,0.2,0.4
INTERNATIONAL JOURNAL OF DAIRY TECHNOLOGY,2.5,2.7
INTERNATIONAL JOURNAL OF DAMAGE MECHANICS,4,3.4
INTERNATIONAL JOURNAL OF DATA MINING AND BIOINFORMATICS,0.2,0.4
INTERNATIONAL JOURNAL OF DATA MINING MODELLING AND MANAGEMENT,0.4,0.4
INTERNATIONAL JOURNAL OF DATA SCIENCE AND ANALYTICS,3.4,2.6
INTERNATIONAL JOURNAL OF DATA WAREHOUSING AND MINING,0.5,0.5
INTERNATIONAL JOURNAL OF DECISION SUPPORT SYSTEM TECHNOLOGY,0.6,0.6
INTERNATIONAL JOURNAL OF DENTAL HYGIENE,1.6,2.1
INTERNATIONAL JOURNAL OF DENTISTRY,1.9,2.1
INTERNATIONAL JOURNAL OF DERMATOLOGY,3.5,3.1
INTERNATIONAL JOURNAL OF DESIGN,1.6,2.6
INTERNATIONAL JOURNAL OF DESIGN CREATIVITY AND INNOVATION,1.2,1.6
INTERNATIONAL JOURNAL OF DEVELOPMENTAL BIOLOGY,1,1.6
INTERNATIONAL JOURNAL OF DEVELOPMENTAL DISABILITIES,1.5,1.8
INTERNATIONAL JOURNAL OF DEVELOPMENTAL NEUROSCIENCE,1.7,2
INTERNATIONAL JOURNAL OF DIABETES IN DEVELOPING COUNTRIES,0.7,0.8
INTERNATIONAL JOURNAL OF DIFFERENTIAL EQUATIONS,1.4,1.1
INTERNATIONAL JOURNAL OF DIGITAL CRIME AND FORENSICS,0.6,0.6
INTERNATIONAL JOURNAL OF DIGITAL EARTH,3.7,3.9
INTERNATIONAL JOURNAL OF DIGITAL MULTIMEDIA BROADCASTING,0.6,1.1
INTERNATIONAL JOURNAL OF DISABILITY DEVELOPMENT AND EDUCATION,1.1,1.5
INTERNATIONAL JOURNAL OF DISASTER RESILIENCE IN THE BUILT ENVIRONMENT,0.9,1.3
INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION,4.2,4.7
INTERNATIONAL JOURNAL OF DISASTER RISK SCIENCE,2.9,4.3
INTERNATIONAL JOURNAL OF DISCLOSURE AND GOVERNANCE,2.9,2.8
INTERNATIONAL JOURNAL OF DISCRIMINATION AND THE LAW,1.2,1.5
INTERNATIONAL JOURNAL OF DISTANCE EDUCATION TECHNOLOGIES,3.3,2
INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS,1.9,1.6
INTERNATIONAL JOURNAL OF DISTRIBUTED SYSTEMS AND TECHNOLOGIES,0.3,0.3
INTERNATIONAL JOURNAL OF DRUG POLICY,4.4,4.7
INTERNATIONAL JOURNAL OF DYNAMICAL SYSTEMS AND DIFFERENTIAL EQUATIONS,0.2,0.3
INTERNATIONAL JOURNAL OF DYNAMICS AND CONTROL,2.2,N/A
INTERNATIONAL JOURNAL OF E-ADOPTION,0.8,0.9
INTERNATIONAL JOURNAL OF EARLY CHILDHOOD,1.3,2.4
INTERNATIONAL JOURNAL OF EARLY YEARS EDUCATION,1.3,1.7
INTERNATIONAL JOURNAL OF EARTH SCIENCES,1.8,2.1
INTERNATIONAL JOURNAL OF EATING DISORDERS,4.7,5.3
INTERNATIONAL JOURNAL OF E-BUSINESS RESEARCH,0.9,1.2
INTERNATIONAL JOURNAL OF E-COLLABORATION,0.2,0.3
INTERNATIONAL JOURNAL OF ECOLOGICAL ECONOMICS and STATISTICS,0.2,0.2
INTERNATIONAL JOURNAL OF ECOLOGY and DEVELOPMENT,0.2,0.2
INTERNATIONAL JOURNAL OF ECONOMIC POLICY STUDIES,0.5,N/A
INTERNATIONAL JOURNAL OF ECONOMIC SCIENCES,3,1.9
INTERNATIONAL JOURNAL OF ECONOMIC THEORY,0.5,0.4
INTERNATIONAL JOURNAL OF ECONOMICS MANAGEMENT AND ACCOUNTING,0.4,0.8
INTERNATIONAL JOURNAL OF EDUCATION AND INFORMATION TECHNOLOGIES,0.6,0.4
INTERNATIONAL JOURNAL OF EDUCATION AND THE ARTS,0.7,0.6
INTERNATIONAL JOURNAL OF EDUCATION IN MATHEMATICS SCIENCE AND TECHNOLOGY,1.3,1.5
INTERNATIONAL JOURNAL OF EDUCATION THROUGH ART,0.6,0.6
INTERNATIONAL JOURNAL OF EDUCATIONAL DEVELOPMENT,2.8,2.5
INTERNATIONAL JOURNAL OF EDUCATIONAL LEADERSHIP AND MANAGEMENT,1.1,1.4
INTERNATIONAL JOURNAL OF EDUCATIONAL MANAGEMENT,2.4,2.3
INTERNATIONAL JOURNAL OF EDUCATIONAL PSYCHOLOGY,1.1,1.6
INTERNATIONAL JOURNAL OF EDUCATIONAL RESEARCH,2.6,3.2
INTERNATIONAL JOURNAL OF EDUCATIONAL RESEARCH AND INNOVATION,1.7,1
INTERNATIONAL JOURNAL OF EDUCATIONAL SCIENCES,0.2,0.3
INTERNATIONAL JOURNAL OF EDUCATIONAL TECHNOLOGY IN HIGHER EDUCATION,8.6,9.9
INTERNATIONAL JOURNAL OF E-HEALTH AND MEDICAL COMMUNICATIONS,1.3,1
INTERNATIONAL JOURNAL OF ELECTRIC AND HYBRID VEHICLES,0.4,0.6
INTERNATIONAL JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING SYSTEMS,0.8,1
INTERNATIONAL JOURNAL OF ELECTRICAL POWER and ENERGY SYSTEMS,5,4.6
INTERNATIONAL JOURNAL OF ELECTROCHEMICAL SCIENCE,1.3,1.3
INTERNATIONAL JOURNAL OF ELECTROCHEMISTRY,2.3,2
INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE,4.2,5.7
INTERNATIONAL JOURNAL OF ELECTRONIC GOVERNMENT RESEARCH,1.2,1.5
INTERNATIONAL JOURNAL OF ELECTRONIC SECURITY AND DIGITAL FORENSICS,0.4,0.5
INTERNATIONAL JOURNAL OF ELECTRONICS,1.1,1.1
INTERNATIONAL JOURNAL OF ELECTRONICS AND TELECOMMUNICATIONS,0.5,0.5
INTERNATIONAL JOURNAL OF EMBEDDED AND REAL-TIME COMMUNICATION SYSTEMS (IJERTCS),0.5,N/A
INTERNATIONAL JOURNAL OF EMBEDDED SYSTEMS,0.5,0.5
INTERNATIONAL JOURNAL OF EMERGENCY MANAGEMENT,0.1,0.5
INTERNATIONAL JOURNAL OF EMERGENCY MEDICINE,2,2.3
INTERNATIONAL JOURNAL OF EMERGENCY SERVICES,1.4,1.2
INTERNATIONAL JOURNAL OF EMERGING ELECTRIC POWER SYSTEMS,0.8,0.7
INTERNATIONAL JOURNAL OF EMERGING MARKETS,2.7,2.9
INTERNATIONAL JOURNAL OF EMOTIONAL EDUCATION,0.5,1.2
INTERNATIONAL JOURNAL OF ENDOCRINOLOGY,2.3,2.7
INTERNATIONAL JOURNAL OF ENDOCRINOLOGY AND METABOLISM,2.1,2.4
INTERNATIONAL JOURNAL OF ENERGETIC MATERIALS AND CHEMICAL PROPULSION,0.5,0.6
INTERNATIONAL JOURNAL OF ENERGY AND ENVIRONMENTAL ENGINEERING,1.9,2.3
INTERNATIONAL JOURNAL OF ENERGY OPTIMIZATION AND ENGINEERING,0.7,0.6
INTERNATIONAL JOURNAL OF ENERGY RESEARCH,4.3,4.5
INTERNATIONAL JOURNAL OF ENERGY SECTOR MANAGEMENT,2.5,2.8
INTERNATIONAL JOURNAL OF ENGINE RESEARCH,2.2,2.3
INTERNATIONAL JOURNAL OF ENGINEERING,1.5,1.1
INTERNATIONAL JOURNAL OF ENGINEERING AND GEOSCIENCES,3.1,2.9
INTERNATIONAL JOURNAL OF ENGINEERING AND TECHNOLOGY INNOVATION,1.3,1
INTERNATIONAL JOURNAL OF ENGINEERING BUSINESS MANAGEMENT,4.9,3.9
INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION,0.7,0.8
INTERNATIONAL JOURNAL OF ENGINEERING PEDAGOGY,1.6,1.7
INTERNATIONAL JOURNAL OF ENGINEERING RESEARCH IN AFRICA,0.8,0.7
INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE,5.7,5.1
INTERNATIONAL JOURNAL OF ENGINEERING SOCIAL JUSTICE AND PEACE,0.8,0.6
INTERNATIONAL JOURNAL OF ENGINEERING SYSTEMS MODELLING AND SIMULATION,0.9,0.6
INTERNATIONAL JOURNAL OF ENGLISH STUDIES,0.1,0.6
INTERNATIONAL JOURNAL OF ENTERPRISE INFORMATION SYSTEMS,1.4,1.5
INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR and RESEARCH,4.5,6.2
INTERNATIONAL JOURNAL OF ENTREPRENEURIAL VENTURING,1.4,1.9
INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP AND INNOVATION,2.1,2.7
INTERNATIONAL JOURNAL OF ENVIRONMENT AND POLLUTION,0.5,0.6
INTERNATIONAL JOURNAL OF ENVIRONMENT AND SUSTAINABLE DEVELOPMENT,0.8,1.1
INTERNATIONAL JOURNAL OF ENVIRONMENT AND WASTE MANAGEMENT,0.5,N/A
INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY,2.3,2.6
INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH,2.2,2.6
INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH,2.6,2.7
INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY,3,3
INTERNATIONAL JOURNAL OF ENVIRONMENTAL TECHNOLOGY AND MANAGEMENT,0.5,0.6
INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,6.4,7.7
INTERNATIONAL JOURNAL OF E-PLANNING RESEARCH,1.6,1.5
INTERNATIONAL JOURNAL OF ESTHETIC DENTISTRY,0.9,1.5
INTERNATIONAL JOURNAL OF ETHICS AND SYSTEMS,1.7,1.9
INTERNATIONAL JOURNAL OF ETHICS EDUCATION,0.4,N/A
INTERNATIONAL JOURNAL OF EVENT AND FESTIVAL MANAGEMENT,2.2,2.6
INTERNATIONAL JOURNAL OF EVIDENCE and PROOF,0.7,1.5
INTERNATIONAL JOURNAL OF EVIDENCE BASED COACHING and MENTORING,0.9,0.9
INTERNATIONAL JOURNAL OF EXERGY,1.1,1.1
INTERNATIONAL JOURNAL OF EXPERIMENTAL PATHOLOGY,1.8,2.4
INTERNATIONAL JOURNAL OF EXTREME MANUFACTURING,16.1,14.4
INTERNATIONAL JOURNAL OF FASHION DESIGN TECHNOLOGY AND EDUCATION,1.9,N/A
INTERNATIONAL JOURNAL OF FASHION STUDIES,0.3,0.5
INTERNATIONAL JOURNAL OF FATIGUE,5.7,5.6
INTERNATIONAL JOURNAL OF FEMINIST APPROACHES TO BIOETHICS,0.3,0.6
INTERNATIONAL JOURNAL OF FERTILITY and STERILITY,2.3,2.4
INTERNATIONAL JOURNAL OF FINANCE and ECONOMICS,2.8,3.1
INTERNATIONAL JOURNAL OF FINANCIAL ENGINEERING,0.6,0.6
INTERNATIONAL JOURNAL OF FINANCIAL STUDIES,2.1,2.1
INTERNATIONAL JOURNAL OF FLUID MECHANICS RESEARCH,0.5,1.2
INTERNATIONAL JOURNAL OF FLUID POWER,0.7,0.9
INTERNATIONAL JOURNAL OF FOOD ENGINEERING,1.6,2
INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,5,5
INTERNATIONAL JOURNAL OF FOOD PROPERTIES,3.1,3.6
INTERNATIONAL JOURNAL OF FOOD SCIENCE,2.7,3.9
INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY,2.6,3.1
INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION,3.5,3.8
INTERNATIONAL JOURNAL OF FORECASTING,6.9,6.8
INTERNATIONAL JOURNAL OF FORENSIC MENTAL HEALTH,1.3,1.5
INTERNATIONAL JOURNAL OF FOREST ENGINEERING,2.1,1.9
INTERNATIONAL JOURNAL OF FOUNDATIONS OF COMPUTER SCIENCE,0.6,0.6
INTERNATIONAL JOURNAL OF FRACTURE,2.2,2.3
INTERNATIONAL JOURNAL OF FRANCOPHONE STUDIES,0.1,0.1
INTERNATIONAL JOURNAL OF FRUIT SCIENCE,2.4,2.5
INTERNATIONAL JOURNAL OF FUZZY LOGIC AND INTELLIGENT SYSTEMS,1.5,1.1
INTERNATIONAL JOURNAL OF FUZZY SYSTEMS,3.6,3.4
INTERNATIONAL JOURNAL OF GAME THEORY,0.6,0.6
INTERNATIONAL JOURNAL OF GAME-BASED LEARNING,1.4,1.6
INTERNATIONAL JOURNAL OF GAMING AND COMPUTER-MEDIATED SIMULATIONS,0.7,1
INTERNATIONAL JOURNAL OF GASTROINTESTINAL INTERVENTION,0.2,0.4
INTERNATIONAL JOURNAL OF GASTRONOMY AND FOOD SCIENCE,3.2,3.3
INTERNATIONAL JOURNAL OF GENDER AND ENTREPRENEURSHIP,3.1,3.9
INTERNATIONAL JOURNAL OF GENERAL MEDICINE,2.1,2.2
INTERNATIONAL JOURNAL OF GENERAL SYSTEMS,2.4,2.1
INTERNATIONAL JOURNAL OF GENOMICS,2.6,2.6
INTERNATIONAL JOURNAL OF GEO-ENGINEERING,2.6,3.1
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,4.3,5.2
INTERNATIONAL JOURNAL OF GEOMATE,0.9,0.8
INTERNATIONAL JOURNAL OF GEOMECHANICS,3.3,3.5
INTERNATIONAL JOURNAL OF GEOMETRIC METHODS IN MODERN PHYSICS,2.1,1.8
INTERNATIONAL JOURNAL OF GEOPHYSICS,1,1.5
INTERNATIONAL JOURNAL OF GEOSYNTHETICS AND GROUND ENGINEERING,2.3,2.4
INTERNATIONAL JOURNAL OF GEOTECHNICAL EARTHQUAKE ENGINEERING,0.5,0.8
INTERNATIONAL JOURNAL OF GEOTECHNICAL ENGINEERING,2.3,2.3
INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY,3.6,3.9
INTERNATIONAL JOURNAL OF GERONTOLOGY,0.3,0.5
INTERNATIONAL JOURNAL OF GLOBAL ENERGY ISSUES,0.5,0.5
INTERNATIONAL JOURNAL OF GLOBAL WARMING,1,1
INTERNATIONAL JOURNAL OF GREEN ENERGY,3.1,3.4
INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL,4.6,4.3
INTERNATIONAL JOURNAL OF GRID AND HIGH PERFORMANCE COMPUTING,0.6,0.6
INTERNATIONAL JOURNAL OF GRID AND UTILITY COMPUTING,0.5,0.4
INTERNATIONAL JOURNAL OF GROUP PSYCHOTHERAPY,1,0.9
INTERNATIONAL JOURNAL OF GROUP THEORY,0.7,0.3
INTERNATIONAL JOURNAL OF GYNECOLOGICAL CANCER,4.1,3.7
INTERNATIONAL JOURNAL OF GYNECOLOGICAL PATHOLOGY,1.6,2.1
INTERNATIONAL JOURNAL OF GYNECOLOGY and OBSTETRICS,2.6,3.5
INTERNATIONAL JOURNAL OF HAPPINESS AND DEVELOPMENT,0.6,0.7
INTERNATIONAL JOURNAL OF HEALTH CARE QUALITY ASSURANCE,1,1.5
INTERNATIONAL JOURNAL OF HEALTH ECONOMICS AND MANAGEMENT,1.5,1.6
INTERNATIONAL JOURNAL OF HEALTH GEOGRAPHICS,3,4.1
INTERNATIONAL JOURNAL OF HEALTH GOVERNANCE,1.8,1.3
INTERNATIONAL JOURNAL OF HEALTH MEDICINE AND CURRENT RESEARCH-IJHMCR,<0.1,<0.1
INTERNATIONAL JOURNAL OF HEALTH PLANNING AND MANAGEMENT,1.9,2.1
INTERNATIONAL JOURNAL OF HEALTH POLICY AND MANAGEMENT,3.1,3.8
INTERNATIONAL JOURNAL OF HEALTH PROMOTION AND EDUCATION,0.8,1
INTERNATIONAL JOURNAL OF HEALTH SCIENCES-IJHS,2,2.4
INTERNATIONAL JOURNAL OF HEALTH SERVICES,3.4,2.8
INTERNATIONAL JOURNAL OF HEALTHCARE INFORMATION SYSTEMS AND INFORMATICS,0.9,1
INTERNATIONAL JOURNAL OF HEALTHCARE MANAGEMENT,1.4,1.7
INTERNATIONAL JOURNAL OF HEALTHCARE TECHNOLOGY AND MANAGEMENT,0.4,0.6
INTERNATIONAL JOURNAL OF HEAT AND FLUID FLOW,2.6,2.7
INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER,5,5
INTERNATIONAL JOURNAL OF HEAT AND TECHNOLOGY,0.7,0.8
INTERNATIONAL JOURNAL OF HEAVY VEHICLE SYSTEMS,0.5,0.8
INTERNATIONAL JOURNAL OF HEMATOLOGY,1.7,1.8
INTERNATIONAL JOURNAL OF HEPATOBILIARY AND PANCREATIC DISEASES,0.2,0.1
INTERNATIONAL JOURNAL OF HEPATOLOGY,1.5,1.8
INTERNATIONAL JOURNAL OF HERITAGE STUDIES,2,2.3
INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS,3.5,2.3
INTERNATIONAL JOURNAL OF HINDU STUDIES,0.3,0.3
INTERNATIONAL JOURNAL OF HISTORICAL ARCHAEOLOGY,1,0.9
INTERNATIONAL JOURNAL OF HOSPITALITY and TOURISM ADMINISTRATION,2.9,3.1
INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT,9.9,10.3
INTERNATIONAL JOURNAL OF HOUSING MARKETS AND ANALYSIS,1.5,1.7
INTERNATIONAL JOURNAL OF HOUSING POLICY,2.4,2.8
INTERNATIONAL JOURNAL OF HUMAN CAPITAL AND INFORMATION TECHNOLOGY PROFESSIONALS,0.9,1
INTERNATIONAL JOURNAL OF HUMAN FACTORS AND ERGONOMICS,0.5,N/A
INTERNATIONAL JOURNAL OF HUMAN GENETICS,<0.1,<0.1
INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT,4.9,5.8
INTERNATIONAL JOURNAL OF HUMAN RIGHTS,1.1,1.5
INTERNATIONAL JOURNAL OF HUMAN RIGHTS AND CONSTITUTIONAL STUDIES,<0.1,<0.1
INTERNATIONAL JOURNAL OF HUMAN RIGHTS IN HEALTH CARE,1.2,1.2
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,3.4,4.5
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,5.3,5.6
INTERNATIONAL JOURNAL OF HUMANITIES AND ARTS COMPUTING-A JOURNAL OF DIGITAL HUMANITIES,0.5,0.5
INTERNATIONAL JOURNAL OF HUMANOID ROBOTICS,0.9,1.2
INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,8.1,7.3
INTERNATIONAL JOURNAL OF HYDROLOGY SCIENCE AND TECHNOLOGY,0.9,N/A
INTERNATIONAL JOURNAL OF HYDROMECHATRONICS,5.3,2.9
INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,4.5,5
INTERNATIONAL JOURNAL OF HYPERTENSION,1.9,2.1
INTERNATIONAL JOURNAL OF HYPERTHERMIA,3,3.1
INTERNATIONAL JOURNAL OF IBERIAN STUDIES,0.2,0.2
INTERNATIONAL JOURNAL OF IMAGE AND DATA FUSION,1.8,1.7
INTERNATIONAL JOURNAL OF IMAGE AND GRAPHICS,0.8,0.8
INTERNATIONAL JOURNAL OF IMAGING SYSTEMS AND TECHNOLOGY,3,2.9
INTERNATIONAL JOURNAL OF IMMUNOGENETICS,2.3,2
INTERNATIONAL JOURNAL OF IMMUNOPATHOLOGY AND PHARMACOLOGY,3,3
INTERNATIONAL JOURNAL OF IMPACT ENGINEERING,5.1,5.4
INTERNATIONAL JOURNAL OF IMPLANT DENTISTRY,3.1,3.5
INTERNATIONAL JOURNAL OF IMPOTENCE RESEARCH,2.8,2.5
INTERNATIONAL JOURNAL OF INCLUSIVE EDUCATION,1.8,2.6
INTERNATIONAL JOURNAL OF INDIAN CULTURE AND BUSINESS MANAGEMENT,0.7,0.8
INTERNATIONAL JOURNAL OF INDIGENOUS HEALTH,1.2,1.3
INTERNATIONAL JOURNAL OF INDUSTRIAL ENGINEERING AND MANAGEMENT,2.4,N/A
INTERNATIONAL JOURNAL OF INDUSTRIAL ENGINEERING COMPUTATIONS,1.6,1.9
INTERNATIONAL JOURNAL OF INDUSTRIAL ENGINEERING-THEORY APPLICATIONS AND PRACTICE,1.2,1
INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS,2.5,2.9
INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION,1.7,2
INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,4.8,5
INTERNATIONAL JOURNAL OF INFLAMMATION,2.6,4
INTERNATIONAL JOURNAL OF INFORMATION AND COMMUNICATION TECHNOLOGY EDUCATION,1.5,1.4
INTERNATIONAL JOURNAL OF INFORMATION AND LEARNING TECHNOLOGY,2.4,3
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,20.1,19.2
INTERNATIONAL JOURNAL OF INFORMATION RETRIEVAL RESEARCH,0.5,0.5
INTERNATIONAL JOURNAL OF INFORMATION SECURITY,2.4,2.5
INTERNATIONAL JOURNAL OF INFORMATION SECURITY AND PRIVACY,0.5,0.6
INTERNATIONAL JOURNAL OF INFORMATION SYSTEM MODELING AND DESIGN,0.8,0.6
INTERNATIONAL JOURNAL OF INFORMATION SYSTEMS AND SUPPLY CHAIN MANAGEMENT,0.9,0.8
INTERNATIONAL JOURNAL OF INFORMATION SYSTEMS IN THE SERVICE SECTOR,0.6,0.5
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY and DECISION MAKING,2.5,2.4
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY AND WEB ENGINEERING,0.6,0.7
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY PROJECT MANAGEMENT,0.4,0.6
INTERNATIONAL JOURNAL OF INJURY CONTROL AND SAFETY PROMOTION,2.3,2.3
INTERNATIONAL JOURNAL OF INNOVATION,0.5,1
INTERNATIONAL JOURNAL OF INNOVATION AND LEARNING,1,0.7
INTERNATIONAL JOURNAL OF INNOVATION AND SUSTAINABLE DEVELOPMENT,0.4,1
INTERNATIONAL JOURNAL OF INNOVATION AND TECHNOLOGY MANAGEMENT,1.6,2.2
INTERNATIONAL JOURNAL OF INNOVATION MANAGEMENT,1.3,1.9
INTERNATIONAL JOURNAL OF INNOVATION SCIENCE,3,4.1
INTERNATIONAL JOURNAL OF INNOVATION STUDIES,4.2,N/A
INTERNATIONAL JOURNAL OF INNOVATIVE COMPUTING INFORMATION AND CONTROL,1.3,0.9
INTERNATIONAL JOURNAL OF INSTRUCTION,1.9,1.8
INTERNATIONAL JOURNAL OF INTANGIBLE HERITAGE,0.6,0.8
INTERNATIONAL JOURNAL OF INTEGRATED CARE,2.6,3.1
INTERNATIONAL JOURNAL OF INTEGRATED ENGINEERING,0.4,0.5
INTERNATIONAL JOURNAL OF INTEGRATIVE PSYCHOTHERAPY,<0.1,0.1
INTERNATIONAL JOURNAL OF INTELLIGENCE AND COUNTERINTELLIGENCE,0.4,0.5
INTERNATIONAL JOURNAL OF INTELLIGENT COMPUTING AND CYBERNETICS,2.2,2
INTERNATIONAL JOURNAL OF INTELLIGENT ENGINEERING INFORMATICS,1.6,1.3
INTERNATIONAL JOURNAL OF INTELLIGENT INFORMATION TECHNOLOGIES,0.6,0.6
INTERNATIONAL JOURNAL OF INTELLIGENT ROBOTICS AND APPLICATIONS,2.1,2.1
INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,5,5.9
INTERNATIONAL JOURNAL OF INTELLIGENT TRANSPORTATION SYSTEMS RESEARCH,1.1,1.4
INTERNATIONAL JOURNAL OF INTELLIGENT UNMANNED SYSTEMS,0.8,1.2
INTERNATIONAL JOURNAL OF INTERACTIVE DESIGN AND MANUFACTURING - IJIDEM,2.1,2.1
INTERNATIONAL JOURNAL OF INTERACTIVE MULTIMEDIA AND ARTIFICIAL INTELLIGENCE,3.4,2.8
INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS,2.4,2.7
INTERNATIONAL JOURNAL OF INTERDISCIPLINARY TELECOMMUNICATIONS AND NETWORKING,0.4,0.6
INTERNATIONAL JOURNAL OF INTERNET MARKETING AND ADVERTISING,1.3,N/A
INTERNATIONAL JOURNAL OF INTERNET PROTOCOL TECHNOLOGY,0.3,0.2
INTERNATIONAL JOURNAL OF ISLAMIC AND MIDDLE EASTERN FINANCE AND MANAGEMENT,2.8,2.9
